i,A_off,A_b3,A_v,A_tail,B_off,B_b3,B_v,B_tail,v_delta,b3_delta
0,0x039847,01,0x0103,9AF0,0x039916,01,0x0104,DBF0,1,0
1,0x039850,02,0x0710,9AF0,0x03991F,02,0x0711,DBF0,1,0
2,0x039859,04,0x0A1A,9AF0,0x039928,04,0x0A1B,DBF0,1,0
3,0x039862,06,0x1027,9AF0,0x039931,06,0x1028,DBF0,1,0
4,0x03986B,09,0x173F,9AF0,0x03993A,09,0x1740,DBF0,1,0
5,0x039874,0B,0x1B51,9AF0,0x039943,0B,0x1B52,DBF0,1,0
6,0x03987D,0B,0x1D5A,9AF0,0x03994C,0B,0x1D5B,DBF0,1,0
7,0x039886,18,0x36D1,9AF0,0x039955,18,0x36D2,DBF0,1,0
8,0x03988F,0A,0x1948,9AF0,0x03995E,0A,0x1949,DBF0,1,0
9,0x039898,14,0x2FAE,9AF0,0x039967,14,0x2FAF,DBF0,1,0
10,0x0398A1,0C,0x1F63,9AF0,0x039970,0C,0x1F64,DBF0,1,0
11,0x0398AA,0E,0x070E,9AF0,0x039979,0E,0x070F,DBF0,1,0
12,0x0398B3,08,0x1536,9AF0,0x039982,08,0x1537,DBF0,1,0
13,0x0398BC,12,0x2B9C,9AF0,0x03998B,12,0x2B9D,DBF0,1,0
14,0x0398C5,10,0x278A,9AF0,0x039994,10,0x278B,DBF0,1,0
15,0x0398CE,0F,0x2581,9AF0,0x03999D,0F,0x2582,DBF0,1,0
16,0x0398D7,11,0x2993,9AF0,0x0399A6,11,0x2994,DBF0,1,0
17,0x0398E0,13,0x2DA5,9AF0,0x0399AF,13,0x2DA6,DBF0,1,0
18,0x0398E9,16,0x33C0,9AF0,0x0399B8,16,0x33C1,DBF0,1,0
19,0x0398F2,15,0x31B7,9AF0,0x0399C1,15,0x31B8,DBF0,1,0
20,0x0398FB,19,0x0A1B,9AF0,0x0399CA,19,0x0A1C,C6F0,1,0
21,0x039904,1A,0x0F2A,9AF0,0x0399D3,1A,0x0F2B,CDF0,1,0
22,0x03990D,1B,0x1133,9AF0,0x0399DC,1B,0x1134,D4F0,1,0
23,0x039916,01,0x0104,DBF0,0x0399E5,26,0x003B,B1F0,-201,37
24,0x03991F,02,0x0711,DBF0,0x0399EE,45,0x0016,1DF1,-1787,67
25,0x039928,04,0x0A1B,DBF0,0x0399F7,2F,0x0054,36F1,-2503,43
26,0x039931,06,0x1028,DBF0,0x039A00,41,0x000E,D0F1,-4122,59
27,0x03993A,09,0x1740,DBF0,0x039A09,41,0x000E,2BF2,-5938,56
28,0x039943,0B,0x1B52,DBF0,0x039A12,41,0x000E,E7F2,-6980,54
29,0x03994C,0B,0x1D5B,DBF0,0x039A1B,43,0x0000,0AF1,-7515,56
