pair_index,A_cpu,A_bytes,A_slot1,A_slot2_word,A_branch_word,B_cpu,B_bytes,B_slot1,B_slot2_word,B_branch_word,B_minus_A_slot2,note
0,83:9850,38 05 01 02 32 10 07 9A F0,02 32,0x0710,0xF09A,83:991F,38 05 01 02 32 11 07 DB F0,02 32,0x0711,0xF0DB,1,多くの行でB側のslot2 wordがA側+1。A/B二段の範囲境界候補
1,83:9859,38 05 01 04 32 1A 0A 9A F0,04 32,0x0A1A,0xF09A,83:9928,38 05 01 04 32 1B 0A DB F0,04 32,0x0A1B,0xF0DB,1,多くの行でB側のslot2 wordがA側+1。A/B二段の範囲境界候補
2,83:9862,38 05 01 06 32 27 10 9A F0,06 32,0x1027,0xF09A,83:9931,38 05 01 06 32 28 10 DB F0,06 32,0x1028,0xF0DB,1,多くの行でB側のslot2 wordがA側+1。A/B二段の範囲境界候補
3,83:986B,38 05 01 09 32 3F 17 9A F0,09 32,0x173F,0xF09A,83:993A,38 05 01 09 32 40 17 DB F0,09 32,0x1740,0xF0DB,1,多くの行でB側のslot2 wordがA側+1。A/B二段の範囲境界候補
4,83:9874,38 05 01 0B 32 51 1B 9A F0,0B 32,0x1B51,0xF09A,83:9943,38 05 01 0B 32 52 1B DB F0,0B 32,0x1B52,0xF0DB,1,多くの行でB側のslot2 wordがA側+1。A/B二段の範囲境界候補
5,83:987D,38 05 01 0B 32 5A 1D 9A F0,0B 32,0x1D5A,0xF09A,83:994C,38 05 01 0B 32 5B 1D DB F0,0B 32,0x1D5B,0xF0DB,1,多くの行でB側のslot2 wordがA側+1。A/B二段の範囲境界候補
6,83:9886,38 05 01 18 32 D1 36 9A F0,18 32,0x36D1,0xF09A,83:9955,38 05 01 18 32 D2 36 DB F0,18 32,0x36D2,0xF0DB,1,多くの行でB側のslot2 wordがA側+1。A/B二段の範囲境界候補
7,83:988F,38 05 01 0A 32 48 19 9A F0,0A 32,0x1948,0xF09A,83:995E,38 05 01 0A 32 49 19 DB F0,0A 32,0x1949,0xF0DB,1,多くの行でB側のslot2 wordがA側+1。A/B二段の範囲境界候補
8,83:9898,38 05 01 14 32 AE 2F 9A F0,14 32,0x2FAE,0xF09A,83:9967,38 05 01 14 32 AF 2F DB F0,14 32,0x2FAF,0xF0DB,1,多くの行でB側のslot2 wordがA側+1。A/B二段の範囲境界候補
9,83:98A1,38 05 01 0C 32 63 1F 9A F0,0C 32,0x1F63,0xF09A,83:9970,38 05 01 0C 32 64 1F DB F0,0C 32,0x1F64,0xF0DB,1,多くの行でB側のslot2 wordがA側+1。A/B二段の範囲境界候補
10,83:98AA,38 05 01 0E 35 0E 07 9A F0,0E 35,0x070E,0xF09A,83:9979,38 05 01 0E 35 0F 07 DB F0,0E 35,0x070F,0xF0DB,1,多くの行でB側のslot2 wordがA側+1。A/B二段の範囲境界候補
11,83:98B3,38 05 01 08 32 36 15 9A F0,08 32,0x1536,0xF09A,83:9982,38 05 01 08 32 37 15 DB F0,08 32,0x1537,0xF0DB,1,多くの行でB側のslot2 wordがA側+1。A/B二段の範囲境界候補
12,83:98BC,38 05 01 12 32 9C 2B 9A F0,12 32,0x2B9C,0xF09A,83:998B,38 05 01 12 32 9D 2B DB F0,12 32,0x2B9D,0xF0DB,1,多くの行でB側のslot2 wordがA側+1。A/B二段の範囲境界候補
13,83:98C5,38 05 01 10 32 8A 27 9A F0,10 32,0x278A,0xF09A,83:9994,38 05 01 10 32 8B 27 DB F0,10 32,0x278B,0xF0DB,1,多くの行でB側のslot2 wordがA側+1。A/B二段の範囲境界候補
14,83:98CE,38 05 01 0F 32 81 25 9A F0,0F 32,0x2581,0xF09A,83:999D,38 05 01 0F 32 82 25 DB F0,0F 32,0x2582,0xF0DB,1,多くの行でB側のslot2 wordがA側+1。A/B二段の範囲境界候補
15,83:98D7,38 05 01 11 32 93 29 9A F0,11 32,0x2993,0xF09A,83:99A6,38 05 01 11 32 94 29 DB F0,11 32,0x2994,0xF0DB,1,多くの行でB側のslot2 wordがA側+1。A/B二段の範囲境界候補
16,83:98E0,38 05 01 13 32 A5 2D 9A F0,13 32,0x2DA5,0xF09A,83:99AF,38 05 01 13 32 A6 2D DB F0,13 32,0x2DA6,0xF0DB,1,多くの行でB側のslot2 wordがA側+1。A/B二段の範囲境界候補
17,83:98E9,38 05 01 16 32 C0 33 9A F0,16 32,0x33C0,0xF09A,83:99B8,38 05 01 16 32 C1 33 DB F0,16 32,0x33C1,0xF0DB,1,多くの行でB側のslot2 wordがA側+1。A/B二段の範囲境界候補
18,83:98F2,38 05 01 15 32 B7 31 9A F0,15 32,0x31B7,0xF09A,83:99C1,38 05 01 15 32 B8 31 DB F0,15 32,0x31B8,0xF0DB,1,多くの行でB側のslot2 wordがA側+1。A/B二段の範囲境界候補
19,83:98FB,38 05 01 19 35 1B 0A 9A F0,19 35,0x0A1B,0xF09A,83:99CA,37 05 01 19 35 1C 0A C6 F0,19 35,0x0A1C,0xF0C6,1,多くの行でB側のslot2 wordがA側+1。A/B二段の範囲境界候補
20,83:9904,38 05 01 1A 35 2A 0F 9A F0,1A 35,0x0F2A,0xF09A,83:99D3,37 05 01 1A 35 2B 0F CD F0,1A 35,0x0F2B,0xF0CD,1,多くの行でB側のslot2 wordがA側+1。A/B二段の範囲境界候補
21,83:990D,38 05 01 1B 35 33 11 9A F0,1B 35,0x1133,0xF09A,83:99DC,37 05 01 1B 35 34 11 D4 F0,1B 35,0x1134,0xF0D4,1,多くの行でB側のslot2 wordがA側+1。A/B二段の範囲境界候補
