call,callee,group_source,state_source,script_if_group_state_static,context_before
C1:91CD,AE79_preserve_cursor,#$40 -> group 0,#40,C5:28AE frame_seq=121 dur=16,"C1:91B7  ad 38 00    LDA abs $0038 | C1:91BA  29 01       AND # $01 | C1:91BC  f0 02       BEQ $02 | C1:91BE  a9 40       LDA # $40 | C1:91C0  85 00       STA dp $00 | C1:91C2  bd 27 0b    LDA abs,X $0B27 | C1:91C5  29 0f       AND # $0F | C1:91C7  05 00       OP05 $00 | C1:91C9  99 27 0b    STA abs,Y $0B27 | C1:91CC  68          PLA "
C1:9290,AE88_reset_cursor,#$24 -> group 4,#04,"C1:2FE1 frame_seq=24,20,21,22,23,26,27,28,27,26,23,25,23,22,21,20 dur=5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5",C1:927C  f0 10       BEQ $10 | C1:927E  c9 0b       CMP # $0B | C1:9280  f0 08       BEQ $08 | C1:9282  c9 09       CMP # $09 | C1:9284  f0 04       BEQ $04 | C1:9286  a9 01       LDA # $01 | C1:9288  80 06       BRA $06 | C1:928A  a9 03       LDA # $03 | C1:928C  80 02       BRA $02 | C1:928E  a9 04       LDA # $04
C1:92F5,AE88_reset_cursor,#$24 -> group 4,#02,C1:2FBB frame_seq=10 dur=255,"C1:92DB  a8          TAY  | C1:92DC  a9 24       LDA # $24 | C1:92DE  99 27 0b    STA abs,Y $0B27 | C1:92E1  a9 02       LDA # $02 | C1:92E3  22 5e b2 80 JSL $80:B25E | C1:92E7  a9 1c       LDA # $1C | C1:92E9  22 89 bc 80 JSL $80:BC89 | C1:92ED  a9 01       LDA # $01 | C1:92EF  22 a9 bc 80 JSL $80:BCA9 | C1:92F3  a9 02       LDA # $02"
C1:B09A,AE88_reset_cursor,#$10 -> group 0,#10,"C5:2153 frame_seq=37,38,39,40 dur=7,7,7,7","C1:B07E  bd 59 06    LDA abs,X $0659 | C1:B081  8d 0b 03    STA abs $030B | C1:B084  bd 99 06    LDA abs,X $0699 | C1:B087  8d 0d 03    STA abs $030D | C1:B08A  22 0f b1 81 JSL $81:B10F | C1:B08E  ad 56 18    LDA abs $1856 | C1:B091  22 50 b4 81 JSL $81:B450 | C1:B095  18          CLC  | C1:B096  7d d9 06    OP7D $06D9 | C1:B099  3a          DEC A "
C1:B5CD,AE88_reset_cursor,#$25 -> group 5,#04,C1:420A frame_seq=8 dur=255,"C1:B5B1  99 27 0b    STA abs,Y $0B27 | C1:B5B4  a9 03       LDA # $03 | C1:B5B6  22 5e b2 80 JSL $80:B25E | C1:B5BA  a9 21       LDA # $21 | C1:B5BC  22 89 bc 80 JSL $80:BC89 | C1:B5C0  a9 f0       LDA # $F0 | C1:B5C2  8d 11 11    STA abs $1111 | C1:B5C5  a9 01       LDA # $01 | C1:B5C7  22 a3 bc 80 JSL $80:BCA3 | C1:B5CB  a9 04       LDA # $04"
C1:B5E0,AE88_reset_cursor,#$25 -> group 5,#03,C1:4206 frame_seq=7 dur=255,"C1:B5C2  8d 11 11    STA abs $1111 | C1:B5C5  a9 01       LDA # $01 | C1:B5C7  22 a3 bc 80 JSL $80:BCA3 | C1:B5CB  a9 04       LDA # $04 | C1:B5CD  22 88 ae 80 JSL $80:AE88 | C1:B5D1  22 0f b1 81 JSL $81:B10F | C1:B5D5  bd 83 18    LDA abs,X $1883 | C1:B5D8  22 32 b8 81 JSL $81:B832 | C1:B5DC  90 06       BCC $06 | C1:B5DE  a9 03       LDA # $03"
C1:B9DA,AE88_reset_cursor,#$22 -> group 2,#DC,C1:1931 frame_seq=98 dur=255,"C1:B9BE  99 27 0b    STA abs,Y $0B27 | C1:B9C1  a9 39       LDA # $39 | C1:B9C3  22 5e b2 80 JSL $80:B25E | C1:B9C7  a9 35       LDA # $35 | C1:B9C9  22 89 bc 80 JSL $80:BC89 | C1:B9CD  a9 f0       LDA # $F0 | C1:B9CF  8d 11 11    STA abs $1111 | C1:B9D2  a9 0a       LDA # $0A | C1:B9D4  22 a3 bc 80 JSL $80:BCA3 | C1:B9D8  a9 dc       LDA # $DC"
C1:B9EC,AE88_reset_cursor,#$22 -> group 2,#DE,C1:194D frame_seq=249 dur=255,"C1:B9CF  8d 11 11    STA abs $1111 | C1:B9D2  a9 0a       LDA # $0A | C1:B9D4  22 a3 bc 80 JSL $80:BCA3 | C1:B9D8  a9 dc       LDA # $DC | C1:B9DA  22 88 ae 80 JSL $80:AE88 | C1:B9DE  22 0f b1 81 JSL $81:B10F | C1:B9E2  bd e3 18    LDA abs,X $18E3 | C1:B9E5  20 50 ba    JSR $BA50 | C1:B9E8  90 06       BCC $06 | C1:B9EA  a9 de       LDA # $DE"
C1:E3C1,AE88_reset_cursor,#$23 -> group 3,#86,"C1:22FF frame_seq=29,70 dur=16,16","C1:E3A8  22 33 af 80 JSL $80:AF33 | C1:E3AC  9d d9 05    STA abs,X $05D9 | C1:E3AF  a8          TAY  | C1:E3B0  a9 23       LDA # $23 | C1:E3B2  99 27 0b    STA abs,Y $0B27 | C1:E3B5  a9 03       LDA # $03 | C1:E3B7  8d 1e 0a    STA abs $0A1E | C1:E3BA  a9 05       LDA # $05 | C1:E3BC  8d 5f 03    STA abs $035F | C1:E3BF  a9 86       LDA # $86"
C2:FA6A,AE88_reset_cursor,#$04 -> group 4,#02,C1:2FBB frame_seq=10 dur=255,"C2:FA4D  8d 5f 03    STA abs $035F | C2:FA50  ad 1e 0a    LDA abs $0A1E | C2:FA53  09 30       ORA # $30 | C2:FA55  a4 6a       OPA4 $6A | C2:FA57  99 27 0b    STA abs,Y $0B27 | C2:FA5A  a9 02       LDA # $02 | C2:FA5C  22 83 bc 80 JSL $80:BC83 | C2:FA60  22 0f a3 80 JSL $80:A30F | C2:FA64  ae 67 00    OPAE $0067 | C2:FA67  bd 19 07    LDA abs,X $0719"
C5:9874,AE88_reset_cursor,#$25 -> group 5,#25,C1:51DA frame_seq=76 dur=16,"C5:985A  a8          TAY  | C5:985B  a9 25       LDA # $25 | C5:985D  99 27 0b    STA abs,Y $0B27 | C5:9860  a9 0c       LDA # $0C | C5:9862  22 5e b2 80 JSL $80:B25E | C5:9866  a9 19       LDA # $19 | C5:9868  22 89 bc 80 JSL $80:BC89 | C5:986C  a9 01       LDA # $01 | C5:986E  22 a9 bc 80 JSL $80:BCA9 | C5:9872  a9 25       LDA # $25"
C5:CCB2,AE88_reset_cursor,#$20 -> group 0,#71,C5:315E frame_seq=191 dur=255,"C5:CC98  a9 20       LDA # $20 | C5:CC9A  22 33 af 80 JSL $80:AF33 | C5:CC9E  a8          TAY  | C5:CC9F  a9 20       LDA # $20 | C5:CCA1  99 27 0b    STA abs,Y $0B27 | C5:CCA4  a9 40       LDA # $40 | C5:CCA6  22 83 bc 80 JSL $80:BC83 | C5:CCAA  a9 3a       LDA # $3A | C5:CCAC  22 a9 bc 80 JSL $80:BCA9 | C5:CCB0  a9 71       LDA # $71"
C5:CFC7,AE88_reset_cursor,#$38 -> group 8,#38,C2:55FF frame_seq=61 dur=240,"C5:CFAF  ad 69 15    LDA abs $1569 | C5:CFB2  22 77 b4 81 JSL $81:B477 | C5:CFB6  85 00       STA dp $00 | C5:CFB8  68          PLA  | C5:CFB9  05 00       OP05 $00 | C5:CFBB  99 27 0b    STA abs,Y $0B27 | C5:CFBE  ad 69 15    LDA abs $1569 | C5:CFC1  22 50 b4 81 JSL $81:B450 | C5:CFC5  1a          INC A  | C5:CFC6  1a          INC A "
C5:D4CB,AE88_reset_cursor,#$20 -> group 0,#72,C5:3162 frame_seq=192 dur=255,"C5:D4B0  a9 00       LDA # $00 | C5:D4B2  20 d1 d4    JSR $D4D1 | C5:D4B5  9c 5f 03    STZ abs $035F | C5:D4B8  a9 20       LDA # $20 | C5:D4BA  99 27 0b    STA abs,Y $0B27 | C5:D4BD  a9 40       LDA # $40 | C5:D4BF  22 83 bc 80 JSL $80:BC83 | C5:D4C3  a9 3a       LDA # $3A | C5:D4C5  22 a9 bc 80 JSL $80:BCA9 | C5:D4C9  a9 72       LDA # $72"
C6:87DB,AE88_reset_cursor,#$38 -> group 8,#01,"C2:53C9 frame_seq=5,2,1,6,1,2,6,1,5,2,5,0,2,0,5,0,3,4,0 dur=2,2,2,3,5,2,5,3,1,1,1,5,2,5,3,3,4,4,255","C6:87C0  99 27 0b    STA abs,Y $0B27 | C6:87C3  a9 05       LDA # $05 | C6:87C5  8d 5f 03    STA abs $035F | C6:87C8  a9 01       LDA # $01 | C6:87CA  22 a9 bc 80 JSL $80:BCA9 | C6:87CE  a9 04       LDA # $04 | C6:87D0  8d 5f 03    STA abs $035F | C6:87D3  a9 01       LDA # $01 | C6:87D5  22 83 bc 80 JSL $80:BC83 | C6:87D9  a9 01       LDA # $01"
C6:9DD7,AE88_reset_cursor,#$08 -> group 8,#01,"C2:53C9 frame_seq=5,2,1,6,1,2,6,1,5,2,5,0,2,0,5,0,3,4,0 dur=2,2,2,3,5,2,5,3,1,1,1,5,2,5,3,3,4,4,255","C6:9DBD  8d 1e 0a    STA abs $0A1E | C6:9DC0  ad 1e 0a    LDA abs $0A1E | C6:9DC3  09 20       ORA # $20 | C6:9DC5  a4 6a       OPA4 $6A | C6:9DC7  99 27 0b    STA abs,Y $0B27 | C6:9DCA  a9 04       LDA # $04 | C6:9DCC  8d 5f 03    STA abs $035F | C6:9DCF  a9 01       LDA # $01 | C6:9DD1  22 83 bc 80 JSL $80:BC83 | C6:9DD5  a9 01       LDA # $01"
