slot,b25_unique,ae5_unique,e27_unique,e67_unique,ea7_unique,x_unique,y_unique,ce5_unique
00,00(205),0E(205),04(205),1F(34) / 0F(34) / 11(9) / 15(8) / 19(8) / 0B(7),02(104) / 00(101),00:00(205),00:00(205),00(205)
01,00(201),01(201),00(201),00(201),00(201),00:00(201),00:00(201),00(201)
02,22(205),08(104) / 07(101),00(205),00(205),00(205),00:70(205),00:7F(205),00(205)
03,20(205),00(205),00(205),00(205),00(205),00:70(205),00:8F(205),00(205)
04,20(205),00(205),00(205),00(205),00(205),00:70(205),00:9F(205),00(205)
05,20(205),00(205),00(205),00(205),00(205),00:70(205),00:AF(205),00(205)
06,20(205),00(205),00(205),00(205),00(205),00:70(205),00:AF(205),00(205)
07,20(205),00(205),00(205),00(205),00(205),00:70(205),00:AF(205),00(205)
08,20(205),00(205),00(205),00(205),00(205),00:70(205),00:AF(205),00(205)
09,20(205),00(205),00(205),00(205),00(205),00:70(205),00:AF(205),00(205)
0A,20(205),00(205),8B(205),09(108) / 08(21) / 07(16) / 03(15) / 00(15) / 05(14),02(103) / 00(102),00:70(205),00:AF(205),00(205)
0B,20(205),00(205),3E(205),0F(68) / 01(16) / 05(15) / 0B(14) / 09(14) / 07(13),02(105) / 00(100),00:70(205),00:AF(205),00(205)
0C,23(205),38(103) / 37(102),52(205),0F(68) / 01(16) / 05(15) / 0B(14) / 09(14) / 07(13),02(105) / 00(100),00:70(205),00:6F(205),00(205)
0D,23(205),5B(105) / 5A(100),56(205),0F(68) / 01(16) / 05(15) / 0B(14) / 09(14) / 07(13),02(105) / 00(100),00:70(205),00:5F(205),00(205)
0E,23(205),4B(105) / 4A(100),00(205),00(205),00(205),00:60(205),00:5F(205),00(205)
0F,23(205),64(105) / 63(100),00(205),00(205),00(205),00:80(205),00:5F(205),00(205)
